Element,Symbol,Atomic Number,Electron Configuration,Period,Group,Molar Mass
Hydrogen,H,1,1s^1,1,1,1.00797
Helium,He,2,1s^2,1,18,4.0026
Lithium,Li,3,[He]2s^1,2,1,6.941
Beryllium,Be,4,[He]2s^2,2,2,9.01218
Boron,B,5,[He]2s^2 2p^1,2,13,10.81
Carbon,C,6,[He]2s^2 2p^2,2,14,12.011
Nitrogen,N,7,[He]2s^2 2p^3,2,15,14.0067
Oxygen,O,8,[He]2s^2 2p^4,2,16,15.9994
Fluorine,F,9,[He]2s^2 2p^5,2,17,18.998403
Neon,Ne,10,[He]2s^2 2p^6,2,18,20.179
Sodium,Na,11,[Ne]3s^1,3,1,22.98977
Magnesium,Mg,12,[Ne]3s^2,3,2,24.305
Aluminum,Al,13,[Ne]3s^2 3p^1,3,13,26.98154
Silicon,Si,14,[Ne]3s^2 3p^2,3,14,28.0855
Phosphorus,P,15,[Ne]3s^2 3p^3,3,15,30.97376
Sulfur,S,16,[Ne]3s^2 3p^4,3,16,32.06
Chlorine,Cl,17,[Ne]3s^2 3p^5,3,17,35.453
Argon,Ar,18,[Ne]3s^2 3p^6,3,18,39.948
Potassium,K,19,[Ar]4s^1,4,1,39.0983
Calcium,Ca,20,[Ar]4s^2,4,2,40.08
Scandium,Sc,21,[Ar]3d^1 4s^2,4,3,44.9559
Titanium,Ti,22,[Ar]3d^2 4s^2,4,4,47.9
Vanadium,V,23,[Ar]3d^3 4s^2,4,5,50.9415
Chromium,Cr,24,[Ar]3d^5 4s^1,4,6,51.996
Manganese,Mn,25,[Ar]3d^5 4s^2,4,7,54.938
Iron,Fe,26,[Ar]3d^6 4s^2,4,8,55.847
Cobalt,Co,27,[Ar]3d^7 4s^2,4,9,58.9332
Nickel,Ni,28,[Ar]3d^8 4s^2,4,10,58.7
Copper,Cu,29,[Ar]3d^10 4s^1,4,11,63.546
Zinc,Zn,30,[Ar]3d^10 4s^2,4,12,65.38
Gallium,Ga,31,[Ar]3d^10 4s^2 4p^1,4,13,69.72
Germanium,Ge,32,[Ar]3d^10 4s^2 4p^2,4,14,72.59
Arsenic,As,33,[Ar]3d^10 4s^2 4p^3,4,15,74.9216
Selenium,Se,34,[Ar]3d^10 4s^2 4p^4,4,16,78.96
Bromine,Br,35,[Ar]3d^10 4s^2 4p^5,4,17,79.904
Krypton,Kr,36,[Ar]3d^10 4s^2 4p^6,4,18,83.8
Rubidium,Rb,37,[Kr]5s^1,5,1,85.4678
Strontium,Sr,38,[Kr]5s^2,5,2,87.62
Yttrium,Y,39,[Kr]4d^1 5s^2,5,3,88.9059
Zirconium,Zr,40,[Kr]4d^2 5s^2,5,4,91.22
Niobium,Nb,41,[Kr]4d^4 5s^1,5,5,92.9064
Molybdenum,Mo,42,[Kr]4d^5 5s^1,5,6,95.94
Technetium,Tc,43,[Kr]4d^5 5s^2,5,7,98
Ruthenium,Ru,44,[Kr]4d^7 5s^1,5,8,101.07
Rhodium,Rh,45,[Kr]4d^8 5s^1,5,9,102.9055
Palladium,Pd,46,[Kr]4d^10,5,10,106.4
Silver,Ag,47,[Kr]4d^10 5s^1,5,11,107.868
Cadmium,Cd,48,[Kr]4d^10 5s^2,5,12,112.41
